Cohort;ADHD symptom score in cases only*;N Lifetime co-morbid disorder present*;N Lifetime co-morbid depression present*;N Lifetime co-morbid anxiety*;N Lifetime co-morbid SUD*;IQ*
;"Mean (SD; n)";Yes/No/Unknown;Yes/No/Unknown;Yes/No/Unknown;Yes/No/Unknown;"Mean (SD; n)"
ADHD-WUE cases;"13ú1 (2ú6;37)";41/19/2;30/30/2;14/45/3;7/52/3;"117 (16;56)"
ADHD-WUE controls;-;3/53/0;3/53/0;0/56/0;0/56/0;"114 (14;50)"
ADHD-DUB1 cases;"119ú0 (22ú9;34)";17/19/0;0/32/4;0/32/4;15/19/2;"113 (12;36)"
ADHD-DUB1 controls;-;8/31/0;0/39/0;1/38/0;9/29/1;"103 (13;33)"
ADHD-DUB2 cases;"30ú5 (9ú1;20)";7/13/0;7/13/0;1/19/0;0/20/0;NA
ADHD-DUB2 controls;-;0/0/0;0/0/0;0/0/0;0/0/0;NA
ADHD-Mattos cases;"12ú4 (2ú4;17)";8/9/0;3/14/0;7/10/0;3/14/0;"114 (8;17)"
ADHD-Mattos controls;-;0/0/0;0/0/0;0/0/0;0/0/0;NA
ADHD200-KKI cases;"146ú1 (19ú6;22)";0/0/25;0/0/25;0/0/25;0/0/25;"112 (10;69)"
ADHD200-KKI controls;-;0/0/69;0/0/69;0/0/69;0/0/69;"107 (15;25)"
ADHD200-NYU cases;"139ú8 (17ú4;148)";0/0/151;0/0/151;0/0/151;0/0/151;"111 (14;102)"
ADHD200-NYU controls;-;0/0/109;0/0/109;0/0/109;0/0/109;"106 (14;146)"
ADHD200-Peking cases;"50ú5 (8ú6;95)";0/0/102;0/0/102;0/0/102;0/0/102;"118 (13;142)"
ADHD200-Peking controls;-;0/0/143;0/0/143;0/0/143;0/0/143;"106 (13;102)"
ADHD200-OHSU cases;"143ú1 (18ú6;36)";0/0/42;0/0/42;0/0/42;0/0/42;"116 (13;67)"
ADHD200-OHSU controls;-;0/0/67;0/0/67;0/0/67;0/0/67;"110 (14;42)"
ADHD-UKA cases;"13ú8 (1ú8;102)";34/67/1;0/101/1;6/95/1;0/101/1;"110 (13;79)"
ADHD-UKA controls;-;0/0/79;0/0/79;0/0/79;0/0/79;"102 (12;85)"
Bergen-adultADHD cases;NA;0/0/38;0/0/38;0/0/38;0/0/38;"116 (9;37)"
Bergen-adultADHD controls;-;0/0/43;0/0/43;0/0/43;0/0/43;"111 (14;29)"
Bergen-SVG cases;"9ú6 (3ú6;25)";0/0/25;0/0/25;0/0/25;0/0/25;"96 (9;29)"
Bergen-SVG controls;-;0/0/29;0/0/29;0/0/29;0/0/29;"97 (12;24)"
DAT-London cases;NA;0/0/27;0/0/27;0/0/27;0/0/27;"114 (11;29)"
DAT-London controls;-;0/0/29;0/0/29;0/0/29;0/0/29;"109 (11;27)"
IMpACT-NL cases;"12ú9 (3ú3;104)";79/46/0;57/68/0;25/100/0;22/103/0;"110 (15;120)"
IMpACT-NL controls;-;23/97/0;12/108/0;6/114/0;6/114/0;"107 (15;125)"
MGH-ADHD cases;"9ú4 (4ú2;79)";61/18/0;46/33/0;17/62/0;38/41/0;"113 (13;69)"
MGH-ADHD controls;-;29/40/0;15/54/0;2/67/0;21/48/0;"115 (13;78)"
NICHE cases;NA;34/44/0;0/78/0;0/78/0;0/78/0;"106 (13;80)"
NICHE controls;-;0/80/0;0/80/0;0/80/0;0/80/0;"102 (15;78)"
NYU ADHD cases;NA;20/20/0;14/26/0;5/35/0;9/31/0;"112 (11;39)"
NYU controls;-;7/33/0;3/37/0;2/38/0;3/37/0;"111 (12;39)"
UAB-ADHD cases;NA;0/0/103;0/0/103;0/0/103;0/0/103;NA
UAB-ADHD controls;-;0/0/95;0/0/95;0/0/95;0/0/95;"106 (16;13)"
ZI-CAPS cases;"8ú8 (4ú6;22)";0/0/22;0/0/22;0/0/22;0/0/22;"120 (19;13)"
ZI-CAPS controls;-;0/0/13;0/0/13;0/0/13;0/0/13;"110 (16;22)"
ADHD-Rubia cases;"88ú8 (11ú4;36)";0/44/0;0/44/0;0/44/0;0/44/0;"110 (11;33)"
ADHD-Rubia controls;-;0/33/0;0/33/0;0/33/0;0/33/0;"92 (12;41)"
NeuroImage-ADAM cases;"13ú4 (3ú0;97)";31/64/2;0/0/97;0/0/97;0/0/97;"105 (13;85)"
NeuroImage-ADAM controls;-;14/71/0;0/0/85;0/0/85;0/0/85;"95 (14;97)"
NeuroImage-NIJM cases;"13ú2 (2ú8;139)";62/73/4;1/0/138;0/0/139;0/0/139;"109 (14;39)"
NeuroImage-NIJM controls;-;5/34/0;0/0/39;0/0/39;0/0/39;"98 (15;139)"
NIH cases;NA;0/0/251;0/0/251;0/0/251;0/0/251;"108 (11;235)"
NIH controls;-;0/0/251;0/0/251;0/0/251;0/0/251;"108 (15;233)"
MTA cases;NA;0/0/88;0/0/88;0/0/88;0/0/88;"108 (22;40)"
MTA controls;-;0/0/41;0/0/41;0/0/41;0/0/41;"103 (15;87)"
