;;Accumbens;;Amygdala;;Caudate;;Hippocampus;;Pallidum;;Putamen;;Thalamus;;ICV;
Site;Dx;Mean;SD;Mean;SD;Mean;SD;Mean;SD;Mean;SD;Mean;SD;Mean;SD;Mean;SD
ADHD-WUE;Cases;462,3;74,4;1447,0;131,7;3520,6;335,4;4287,9;300,9;1414,7;143,3;4794,2;470,0;8012,7;540,4;1564110;124819,8
;Controls;448,9;74,4;1479,4;131,7;3527,2;335,4;4239,4;301,0;1391,9;143,4;4857,3;470,1;8088,7;540,6;1591861;124825,2
ADHD-DUB1;Cases;712,9;90,5;1804,0;135,7;3998,4;371,7;4724,1;351,5;1805,7;191,7;6289,8;555,5;8207,1;523,8;1669521;155602,9
;Controls;717,5;90,5;1844,2;135,6;4135,7;371,6;4732,5;351,5;1802,9;191,7;6318,4;555,3;8370,2;522,9;1704890;155597,1
ADHD-DUB2;Cases;524,1;57,9;1566,8;82,5;3840,4;432,2;4474,2;296,8;1580,7;153,0;5413,9;550,4;8626,2;694,2;1642749;161634,3
;Controls;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ADHD-Mattos;Cases;630,8;62,2;1745,9;108,5;4453,0;472,4;4509,8;340,9;2084,3;229,1;5996,5;484,4;8120,5;446,8;1685584;125992,9
;Controls;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ADHD200-KKI;Cases;688,1;80,1;1544,3;139,9;4139,4;359,3;3879,0;288,5;2037,5;189,1;6602,3;477,9;7463,0;450,7;1453555;109776,3
;Controls;719,9;79,6;1589,4;138,3;4250,1;357,3;3850,4;287,3;2082,5;188,4;6757,4;476,2;7546,2;448,7;1476121;109602,4
ADHD200-NYU;Cases;721,6;95,8;1472,5;165,1;4067,9;424,1;3734,1;336,8;1894,2;183,7;6561,9;576,5;7162,0;470,9;1423403;156910,7
;Controls;749,0;96,8;1447,9;166,8;4028,1;429,5;3829,6;340,5;1919,3;185,7;6639,6;582,4;7208,1;475,7;1447490;158439,2
ADHD200-Peking;Cases;692,0;94,0;1667,7;170,6;4066,5;399,9;4118,1;288,1;1829,0;192,2;6519,6;603,4;7630,3;493,8;1509761;137776,2
;Controls;687,0;93,0;1663,4;168,6;4033,3;395,9;4141,5;285,3;1821,8;190,2;6571,3;597,5;7643,2;488,3;1518112;136444,8
ADHD200-OHSU;Cases;703,1;90,1;1551,2;163,6;4033,7;443,7;4223,3;354,6;1926,2;162,2;6167,4;537,1;7662,7;501,3;1512304;122737,1
